FID IID C1 C2 C3 C4 C5 C6 C7 C8 C9 C10
1328 NA06989 -0.0374616 0.0211702 0.0336463 -0.0190195 0.0207248 -0.00828947 0.00472214 -0.0118723 0.00842999 -0.0109371
1377 NA11891 -0.0189294 -0.0136889 0.0121456 0.00680066 0.029165 0.0184046 -0.00578575 -0.0038002 -0.0125897 0.0351436
1349 NA11843 0.00494425 0.0049078 -0.0054904 0.0146593 -0.0144086 -0.00624492 -0.00442031 0.000630648 0.0112927 0.00354057
1330 NA12341 -0.00250543 -0.00155677 -0.000788021 -0.0187156 -0.00945382 0.00449367 0.000195835 -0.00522823 0.011427 0.0311633
1328 NA06984 0.00183231 0.0177307 0.00630006 0.00454784 -0.0158345 -0.00335216 -0.00168703 -0.0190082 0.0165529 0.00428832
1418 NA12275 -0.000564981 -0.0236508 0.00919519 -0.0151704 0.0193324 0.00320309 0.0241441 0.0116436 -0.016599 -0.00939351
13291 NA06986 0.00705258 0.0119001 -0.00366094 0.0135613 -0.00871742 0.00550327 0.00422145 0.00680746 -0.00201376 -0.0175116
1418 NA12272 -0.00285965 -0.00487263 -0.00421715 -0.000994567 -0.0242627 0.00751852 0.00677382 0.00509795 -0.00103881 0.00101687
13292 NA07051 0.00369422 -0.0117494 -0.00178772 -0.00223293 0.0201926 0.0100803 -0.00724514 -0.0129283 0.0222832 -0.00394552
1354 NA12400 0.00153103 -0.00406601 -0.0205389 -0.0195115 -0.00324235 0.0146353 0.0072895 -0.0022924 0.0191647 -0.00293959
1451 NA12777 0.00151706 -0.0042056 -0.0079812 -0.00732267 0.000200756 0.00207912 0.00140156 0.00210247 0.0247896 0.0144674
1421 NA12287 -0.00204745 -0.000533882 -0.00448875 9.53618e-05 -0.0188928 0.00774181 0.0130778 -0.000893343 -0.00435861 -0.00831848
1353 NA12383 -0.00586602 0.00288332 0.0118374 0.011235 0.0187447 0.0133427 -0.0315365 0.0146564 -0.00628735 0.0346609
1330 NA12340 -0.00157103 -0.00431199 0.00297589 -0.00698152 -0.0177349 -0.0102646 -0.00257794 0.0255247 -0.0108371 0.00167185
1418 NA12273 -0.00969829 0.0128676 0.0152381 0.011342 0.0103175 -0.00418977 -0.0181201 0.0231688 0.0225881 0.00773466
1377 NA11892 0.00190877 -0.00155117 0.00696822 0.0042106 0.00318071 -0.0104664 -0.0350318 0.0118404 -0.0217901 1.8121e-05
1353 NA12546 -0.00636359 0.00848688 -0.00285385 0.0179977 -0.00454944 -0.00545353 -0.00541092 -0.0152024 0.0229254 0.0268963
1458 NA12843 -0.0105989 -0.00223684 0.00393041 0.00104692 -0.00661504 0.0206764 -0.0249558 -0.00957633 0.00439953 -0.0202188
13281 NA12348 -0.00038381 -0.00683387 7.74892e-05 0.00598935 -0.00603126 -0.0197637 0.0214286 -0.00386523 -0.00928655 -0.0140093
1423 NA11917 -0.0264693 -0.00909908 -0.0840461 -0.0514603 0.0218872 -0.0267311 -0.0624772 0.00459657 -0.0141167 -0.00857583
1358 NA12718 -0.00371779 0.00638039 -0.0135866 -0.00863826 0.000766753 -0.00964007 0.0183203 0.0205497 0.00245094 -0.025114
1423 NA11920 -0.00199357 -0.000734206 -0.0062903 0.00385416 -0.0175574 0.0157829 0.0254555 -0.00609368 -0.00561836 0.00665451
1451 NA12776 -0.00497993 0.0108233 0.00870785 0.00326039 0.000495239 -0.0202878 -0.0117665 -0.00545179 0.0134533 0.0106842
